
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-9-2,33,27,21,24,22,21,100,90,53,1016,1015,1012,16,5,0,11,3,,1.27,2,Fog-Rain,77<br />
2000-9-3,32,26,20,24,22,20,100,90,53,1014,1013,1011,14,4,0,19,3,26,0.25,2,Fog,57<br />
2000-9-4,29,23,19,25,19,15,100,80,62,1021,1015,1012,16,14,3,32,10,42,2.03,6,Rain,47<br />
2000-9-5,23,19,15,14,10,7,81,59,41,1025,1023,1021,16,16,16,27,19,35,0.00,3,,57<br />
2000-9-6,27,18,12,15,11,8,90,72,60,1026,1025,1023,16,16,16,13,10,,0.00,2,,68<br />
2000-9-7,29,21,14,18,16,13,96,64,42,1024,1021,1020,16,16,16,11,3,,0.00,1,,180<br />
2000-9-8,23,20,18,22,20,17,100,91,83,1021,1020,1019,16,13,3,14,5,,0.76,7,Rain,198<br />
2000-9-9,29,24,20,22,21,20,100,88,67,1020,1019,1017,16,10,1,19,3,,0.00,6,,180<br />
2000-9-10,27,23,21,23,22,21,100,91,78,1020,1018,1016,16,11,4,13,3,,2.79,6,Rain,191<br />
2000-9-11,24,21,20,21,21,19,100,94,87,1019,1017,1013,16,10,2,19,5,,6.86,5,Fog-Rain-Thunderstorm,197<br />
2000-9-12,27,22,19,22,20,18,100,88,62,1016,1013,1012,16,12,3,26,8,48,8.64,6,Rain-Thunderstorm,242<br />
2000-9-13,26,20,14,19,13,9,97,70,35,1019,1017,1016,16,16,16,13,6,,0.00,1,,4<br />
2000-9-14,24,18,12,16,11,-1,100,77,31,1017,1015,1010,16,8,0,24,3,34,0.25,4,Fog,337<br />
