
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-7-3,,,,,,,,,,1019,1015,1012,8,6,3,16,8,,0.00,6,,91<br />
2001-7-4,,,,,,,,,,1017,1012,1009,10,8,3,37,8,55,0.00,7,Rain-Thunderstorm,80<br />
2001-7-5,,,,,,,,,,1028,1024,1018,10,9,6,23,16,,0.00,6,Rain,176<br />
2001-7-6,,,,,,,,,,1027,1023,1021,10,9,8,27,14,,0.00,6,,103<br />
2001-7-7,,,,,,,,,,1023,1021,1019,10,10,9,14,5,,0.00,5,,93<br />
2001-7-8,,,,,,,,,,1023,1020,1018,10,8,0,13,5,,0.00,4,Fog,57<br />
2001-7-9,13,,13,0,0,0,41,41,41,1019,1016,1014,10,9,8,14,3,,0.00,3,Rain-Thunderstorm,34<br />
2001-7-10,,,,,,,,,,1017,1012,1007,10,8,4,26,10,,0.00,7,Rain-Thunderstorm,48<br />
2001-7-11,,,,,,,,,,1022,1012,1003,10,8,4,42,13,47,0.00,6,Rain-Thunderstorm,266<br />
2001-7-12,,,,,,,,,,1028,1026,1022,10,10,10,16,10,,0.00,3,,294<br />
2001-7-13,20,,20,19,19,19,94,94,94,1029,1026,1017,10,9,7,26,8,,0.00,2,,101<br />
2001-7-14,,,,,,,,,,1023,1020,1018,10,7,5,14,6,,0.00,2,Rain,296<br />
2001-7-15,,,,,,,,,,1020,1017,1015,10,10,10,14,6,,0.00,4,,97<br />
2001-7-16,,,,,,,,,,1015,1013,1011,10,10,10,13,3,,0.00,4,,290<br />
2001-7-17,,,,,,,,,,1014,1011,1007,10,10,8,37,8,,0.00,6,Rain-Thunderstorm,230<br />
2001-7-18,,,,,,,,,,1012,1008,1005,10,7,3,37,16,,0.00,8,Rain-Thunderstorm,114<br />
