
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-6-6,35,27,19,20,16,7,88,57,20,1013,1011,1008,10,8,5,23,3,,0.00,2,,252<br />
2015-6-7,34,27,19,18,16,11,78,51,23,1013,1011,1009,10,8,6,23,6,,0.00,2,,186<br />
2015-6-8,34,27,19,19,16,12,83,52,26,1012,1010,1008,10,8,6,23,6,,0.00,2,,266<br />
2015-6-9,34,28,21,20,17,10,83,52,21,1011,1009,1007,10,7,5,23,6,40,0.00,3,Thunderstorm,268<br />
2015-6-10,32,26,20,21,19,14,97,73,39,1012,1009,1007,7,5,3,24,8,,0.00,5,Rain-Thunderstorm,223<br />
2015-6-11,32,27,21,22,20,19,90,75,49,1012,1010,1008,7,6,4,19,8,,0.00,5,Thunderstorm,270<br />
2015-6-12,31,26,20,21,19,2,100,74,27,1011,1009,1006,10,7,3,14,3,,0.00,5,Rain-Thunderstorm,273<br />
2015-6-13,30,23,17,21,18,17,98,74,45,1012,1010,1006,10,8,6,19,8,,16.00,5,Rain-Thunderstorm,249<br />
2015-6-14,30,24,19,19,17,16,88,68,39,1012,1010,1006,10,8,6,19,6,,0.00,5,Rain-Hail-Thunderstorm,245<br />
2015-6-15,31,24,18,19,18,16,87,68,40,1011,1010,1007,10,9,8,19,8,,0.00,3,Rain,197<br />
2015-6-16,29,24,19,21,19,16,94,75,53,1012,1010,1008,10,8,6,14,6,,0.25,5,Rain,193<br />
2015-6-17,31,25,19,20,19,18,94,72,40,1011,1010,1007,11,8,6,16,6,,0.00,4,Thunderstorm,276<br />
2015-6-18,32,26,21,21,20,18,94,74,44,1019,1010,1007,11,8,6,23,6,,0.00,4,Rain-Thunderstorm,224<br />
2015-6-19,31,26,21,21,19,18,94,77,45,1013,1010,1008,10,7,3,21,8,,0.00,6,Rain-Hail-Thunderstorm,106<br />
2015-6-20,31,26,20,22,21,19,97,83,62,1012,1011,1008,10,7,1,32,5,,19.05,5,Rain-Thunderstorm,156<br />
2015-6-21,31,26,21,23,21,19,94,79,54,1011,1009,1006,10,8,6,19,6,,0.00,5,Rain-Thunderstorm,279<br />
2015-6-22,29,24,20,22,21,19,94,81,52,1010,1006,1004,10,8,6,16,5,,0.25,6,Rain-Thunderstorm,209<br />
2015-6-23,31,26,20,22,21,19,94,80,57,1008,1005,1003,10,8,6,23,6,,0.00,5,Thunderstorm,227<br />
2015-6-24,30,25,20,22,20,19,97,77,55,1008,1007,1004,10,8,6,24,6,,0.00,4,,275<br />
2015-6-25,31,26,20,23,21,19,100,80,59,1007,1005,1003,10,7,5,21,5,,0.00,4,Rain,212<br />
2015-6-26,31,26,21,22,21,20,100,87,62,1007,1004,1003,10,6,3,16,3,,13.97,6,Rain-Thunderstorm,152<br />
2015-6-27,28,24,20,22,21,19,100,89,67,1010,1007,1004,8,6,3,19,3,,6.10,7,Rain,216<br />
2015-6-28,27,23,20,22,20,18,97,80,60,1016,1011,1008,10,8,6,19,5,,0.00,6,Rain,108<br />
2015-6-29,30,24,19,23,20,18,93,72,52,1016,1014,1012,10,8,5,19,6,,0.00,5,,173<br />
2015-6-30,31,26,21,23,21,20,100,79,57,1015,1012,1010,8,6,3,16,3,,0.00,5,Rain-Thunderstorm,278<br />
2015-7-1,29,24,19,22,21,20,100,86,58,1014,1012,1010,7,6,1,13,3,,57.91,6,Rain-Thunderstorm,50<br />
2015-7-2,29,24,20,23,21,20,100,82,59,1013,1011,1008,8,6,4,21,5,,2.03,5,Rain-Thunderstorm,110<br />
2015-7-3,30,25,20,23,21,20,95,79,59,1010,1009,1007,10,7,6,19,5,,0.00,3,Thunderstorm,232<br />
2015-7-4,29,26,21,23,21,18,100,84,59,1009,1008,1006,6,6,1,19,5,,8.89,6,Rain-Thunderstorm,150<br />
2015-7-5,29,24,20,23,21,20,100,91,69,1009,1008,1006,6,5,2,35,3,,27.94,7,Rain-Thunderstorm,140<br />
2015-7-6,28,24,20,23,21,19,100,92,70,1011,1009,1007,7,5,2,14,2,,26.92,7,Rain-Thunderstorm,238<br />
2015-7-7,28,23,19,22,21,19,100,92,74,1010,1009,1006,7,6,3,16,3,,6.10,7,Rain,228<br />
2015-7-8,30,25,20,22,21,20,95,84,60,1012,1009,1007,10,7,5,13,3,,9.91,6,Rain-Thunderstorm,291<br />
2015-7-9,29,24,20,23,21,19,100,80,62,1011,1009,1006,10,8,6,16,5,,0.00,6,Rain-Thunderstorm,275<br />
2015-7-10,28,24,20,22,20,14,100,80,58,1011,1008,1006,10,7,3,19,5,,0.00,6,Rain-Thunderstorm,123<br />
2015-7-11,29,24,20,22,20,18,88,77,63,1014,1011,1009,10,9,6,14,6,,0.00,6,Rain,141<br />
2015-7-12,31,26,20,23,21,19,94,75,50,1013,1011,1009,10,9,7,21,6,,0.00,3,,207<br />
2015-7-13,31,26,21,22,21,20,94,78,49,1012,1010,1007,10,7,5,14,5,,0.00,5,Rain-Thunderstorm,261<br />
2015-7-14,29,26,22,23,22,21,94,81,60,1010,1007,1005,8,7,4,14,3,,0.00,5,Thunderstorm,254<br />
2015-7-15,27,24,22,23,22,21,100,91,78,1006,1004,1003,7,5,2,11,3,,0.00,7,Rain-Thunderstorm,135<br />
2015-7-16,27,24,21,22,21,21,100,88,72,1008,1006,1005,10,6,3,19,3,,1.02,6,Rain-Thunderstorm,236<br />
2015-7-17,29,24,20,23,21,20,100,84,57,1010,1007,1005,10,7,3,21,5,,0.00,6,Rain-Thunderstorm,245<br />
2015-7-18,29,24,19,22,20,19,96,84,58,1010,1008,1006,10,8,6,19,3,,0.00,6,Rain-Thunderstorm,114<br />
