
IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-5-12,32,26,20,7,4,2,35,24,16,1019,1017,1015,10,10,8,19,3,,0.00,4,,240<br />
2006-5-13,32,28,24,18,8,4,48,31,20,1017,1014,1011,10,10,8,34,14,29,0.00,6,Rain,314<br />
2006-5-14,32,26,21,12,8,3,46,32,20,1014,1013,1011,10,10,6,29,8,,0.00,3,Thunderstorm,227<br />
2006-5-15,32,26,21,8,4,2,43,25,15,1015,1013,1010,10,9,8,26,6,,0.00,1,,267<br />
2006-5-16,32,26,21,8,6,3,38,27,17,1015,1013,1012,10,10,6,29,6,,0.00,4,,228<br />
2006-5-17,31,26,18,12,8,7,64,33,22,1020,1016,1014,10,9,2,55,10,,0.00,3,Rain-Thunderstorm,127<br />
2006-5-18,30,24,19,11,8,5,60,35,24,1018,1015,1013,10,9,3,48,10,,0.00,4,Rain-Thunderstorm,85<br />
2006-5-19,31,26,20,10,3,-7,46,26,9,1013,1012,1010,10,9,7,29,8,,0.00,1,,267<br />
2006-5-20,30,23,16,9,6,-1,63,40,14,1014,1012,1010,8,8,8,19,11,,0.00,0,,228<br />
2006-5-21,26,22,17,9,8,4,56,43,29,1014,1011,1009,10,10,8,45,19,,0.00,6,Rain,267<br />
2006-5-22,28,21,14,9,7,4,67,41,21,1014,1012,1010,10,8,4,29,13,,0.00,2,,249<br />
2006-5-23,28,23,18,10,7,1,56,39,21,1015,1012,1011,10,9,6,37,16,,0.00,5,Rain,253<br />
2006-5-24,26,21,16,9,8,7,63,47,32,1017,1015,1014,10,9,7,40,10,,0.00,4,Rain,248<br />
2006-5-25,23,19,16,11,9,7,72,53,38,1020,1018,1017,10,9,8,29,13,,0.00,6,Rain,250<br />
2006-5-26,27,22,17,10,9,6,59,41,31,1019,1017,1015,10,10,10,26,8,,0.00,3,,167<br />
2006-5-27,30,26,21,8,6,4,41,29,19,1018,1016,1015,10,10,10,37,10,,0.00,2,,261<br />
2006-5-28,32,27,22,8,6,4,33,26,18,1016,1014,1012,10,10,10,45,13,,0.00,1,,297<br />
2006-5-29,32,27,22,8,3,-3,38,22,11,1013,1012,1010,10,9,5,45,13,,0.00,1,,263<br />
2006-5-30,33,26,18,6,3,-3,42,24,10,1015,1013,1009,5,5,5,19,8,,0.00,0,,231<br />
2006-5-31,32,26,21,8,6,4,43,27,19,1017,1015,1014,10,9,5,19,6,,0.00,1,,150<br />
2006-6-1,34,29,25,9,7,3,36,25,17,1018,1016,1014,10,10,8,14,3,,0.00,1,,170<br />
2006-6-2,33,28,23,10,7,5,44,28,18,1019,1016,1014,10,9,7,14,8,,0.00,1,,247<br />
2006-6-3,32,27,23,12,8,6,44,28,22,1019,1016,1014,10,10,8,19,8,,0.00,2,,154<br />
2006-6-4,31,26,22,17,7,3,69,31,18,1018,1016,1015,10,10,10,19,6,,0.00,3,,197<br />
2006-6-5,32,26,21,9,6,4,46,28,18,1019,1017,1015,10,10,10,23,5,,0.00,3,,234<br />
2006-6-6,30,26,21,10,6,3,44,28,18,1019,1017,1016,10,10,8,43,14,,0.00,3,Fog,272<br />
2006-6-7,31,24,19,7,4,3,40,26,17,1018,1016,1015,10,10,10,23,8,,0.00,1,,205<br />
2006-6-8,33,27,22,9,5,2,35,23,15,1018,1015,1013,10,10,8,29,5,,0.00,1,,207<br />
2006-6-9,36,30,24,10,7,3,41,23,14,1015,1013,1011,10,10,10,26,3,,0.00,1,,185<br />
2006-6-10,35,30,25,10,7,2,39,23,13,1016,1015,1013,10,9,5,16,6,,0.00,1,,187<br />
2006-6-11,37,31,25,10,6,3,34,21,13,1017,1015,1014,10,9,8,19,6,,0.00,1,,199<br />
2006-6-12,36,31,27,8,7,5,28,21,16,1017,1015,1013,10,10,10,23,8,,0.00,1,,93<br />
2006-6-13,36,31,26,8,7,5,32,22,16,1018,1016,1015,10,10,10,26,6,,0.00,2,,116<br />
2006-6-14,36,31,27,10,8,6,30,23,18,1018,1016,1014,10,10,10,19,10,,0.00,1,,100<br />
2006-6-15,36,31,26,10,8,6,34,24,18,1018,1016,1015,8,8,8,19,8,,0.00,0,,86<br />
2006-6-16,38,32,27,10,8,6,30,22,15,1017,1015,1013,10,10,10,23,5,,0.00,1,,143<br />
2006-6-17,38,32,27,9,7,4,29,22,14,1015,1013,1012,,,,23,5,,0.00,,,116<br />
2006-6-18,38,32,27,9,7,3,29,20,11,1018,1014,1012,10,10,10,23,8,,0.00,1,,83<br />
2006-6-19,37,30,24,12,9,6,41,25,17,1016,1013,1012,10,9,6,19,8,,0.00,1,,63<br />
2006-6-20,36,28,21,13,11,9,53,33,20,1016,1013,1011,10,9,7,19,10,,0.00,1,,222<br />
2006-6-21,37,30,23,13,11,8,47,32,18,1054,1014,1011,10,9,4,19,8,,0.00,1,,197<br />
2006-6-22,38,33,28,12,11,8,32,24,18,1014,1011,1009,10,10,10,23,11,,0.00,3,,94<br />
2006-6-23,39,32,26,14,11,7,44,26,17,1012,1009,1007,10,10,8,29,11,,0.00,4,,153<br />
2006-6-24,38,32,27,14,12,9,42,29,18,1012,1010,1008,10,9,8,85,14,,0.00,4,,245<br />
2006-6-25,39,33,27,16,13,11,43,29,20,1011,1009,1006,10,9,7,23,6,,0.00,4,,178<br />
2006-6-26,39,32,25,16,13,9,54,33,17,1010,1008,1006,10,9,6,23,14,,0.00,5,,241<br />
2006-6-27,39,32,25,15,14,12,89,38,22,1009,1007,1005,10,9,6,26,14,,0.00,3,,185<br />
2006-6-28,38,31,24,16,14,11,50,35,24,1009,1007,1005,10,9,8,19,13,,0.00,0,,247<br />
2006-6-29,38,30,23,16,14,13,57,40,22,1009,1007,1004,8,6,5,26,11,,0.00,0,,255<br />
2006-6-30,35,29,23,16,15,14,61,44,30,1008,1006,1005,10,9,6,37,16,,0.00,1,,239<br />
2006-7-1,33,27,21,18,15,13,83,48,36,1011,1007,1005,10,10,6,29,14,,0.00,5,Rain,237<br />
2006-7-2,33,27,20,18,16,14,78,50,36,1010,1008,1006,10,9,4,34,13,,0.00,4,Rain-Thunderstorm,201<br />
2006-7-3,33,28,24,17,15,13,57,44,31,1010,1008,1006,10,9,6,23,3,,0.00,3,,125<br />
2006-7-4,37,31,26,17,16,14,57,41,29,1011,1008,1006,10,9,6,23,11,,0.00,3,,165<br />
2006-7-5,36,28,21,18,16,10,64,44,32,1012,1010,1008,10,9,8,29,14,,0.00,1,,251<br />
2006-7-6,38,30,23,18,16,13,57,41,25,1013,1011,1009,8,7,6,26,13,,0.00,0,,175<br />
2006-7-7,40,36,31,18,16,14,40,31,26,1011,1009,1006,10,10,10,37,14,,0.00,4,,92<br />
2006-7-8,41,36,30,20,18,15,40,34,29,1010,1008,1006,10,9,8,34,14,,0.00,0,,100<br />
2006-7-9,41,36,29,19,17,12,48,33,21,1009,1007,1005,8,8,8,37,18,,0.00,,,75<br />
2006-7-10,39,31,24,19,17,15,61,44,29,1010,1007,1006,8,7,7,26,13,,0.00,0,,254<br />
2006-7-11,36,29,23,18,13,6,61,42,16,1010,1009,1007,8,8,8,26,13,,0.00,0,,241<br />
2006-7-12,33,28,23,12,11,10,47,33,26,1013,1011,1010,10,10,7,19,11,,0.00,1,,221<br />
2006-7-13,33,28,23,11,9,7,44,30,23,1016,1013,1011,10,10,8,14,8,,0.00,1,,124<br />
2006-7-14,34,27,20,13,11,8,52,29,21,1014,1011,1008,,,,19,6,,0.00,,,140<br />
2006-7-15,36,31,26,13,11,9,37,28,22,1012,1009,1006,8,8,7,19,6,,0.00,0,,133<br />
2006-7-16,38,33,28,14,11,8,39,26,17,1010,1009,1008,10,8,5,19,10,,0.00,0,,222<br />
2006-7-17,36,29,23,14,11,10,44,31,22,1013,1011,1009,7,7,7,23,13,,0.00,0,,202<br />
2006-7-18,36,31,26,14,12,10,45,30,22,1016,1013,1011,10,7,5,26,10,,0.00,4,,113<br />
2006-7-19,37,32,28,15,12,10,38,28,19,1016,1013,1012,10,10,8,19,8,,0.00,2,,115<br />
2006-7-20,37,32,27,14,12,10,39,29,23,1016,1014,1012,,,,19,8,,0.00,,,133<br />
2006-7-21,35,30,25,17,14,10,57,35,28,1016,1014,1012,8,8,8,14,5,,0.00,0,,227<br />
2006-7-22,36,31,26,16,14,10,51,34,24,1017,1014,1012,10,10,10,71,10,,0.00,1,,167<br />
2006-7-23,37,31,26,16,14,13,48,34,25,1016,1013,1011,10,9,7,19,5,,0.00,1,,89<br />
2006-7-24,38,32,26,15,13,1,35,28,20,1018,1012,1009,10,10,8,34,10,,0.00,2,,159<br />
2006-7-25,39,33,28,16,13,12,42,29,21,1012,1011,1008,10,10,8,19,5,,0.00,1,,80<br />
2006-7-26,38,31,25,16,13,11,54,34,21,1014,1011,1009,7,6,5,19,11,,0.00,0,,203<br />
2006-7-27,39,33,28,16,13,11,40,29,20,1012,1009,1006,8,8,8,19,3,,0.00,0,,99<br />
2006-7-28,40,35,30,16,14,12,37,29,23,1006,1003,999,8,8,8,23,10,,0.00,0,,78<br />
2006-7-29,40,33,27,18,16,13,51,34,23,1002,1000,999,10,8,7,34,11,,0.00,1,,213<br />
2006-7-30,35,28,22,18,17,14,69,51,34,1007,1004,1002,10,7,2,37,19,,0.00,0,,262<br />
2006-7-31,34,27,20,14,12,8,64,42,26,1050,1011,1007,8,8,7,23,14,,0.00,0,,249<br />
2006-8-1,36,30,25,15,13,12,48,36,23,1011,1008,1005,8,7,4,19,10,,0.00,0,,146<br />
2006-8-2,39,33,28,14,12,7,40,28,18,1007,1006,1004,10,7,4,19,8,,0.00,0,,257<br />
2006-8-3,39,32,25,14,12,9,47,30,16,1009,1007,1005,8,6,5,19,11,,0.00,0,,245<br />
2006-8-4,40,32,25,12,7,0,41,24,8,1012,1009,1008,10,9,7,23,13,,0.00,2,Thunderstorm,176<br />
2006-8-5,41,34,29,10,4,0,29,16,9,1012,1009,1007,10,9,6,34,11,,0.00,2,,103<br />
